Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
12/21/2015 2:32,5.9,143,42.2,12.1,6.4,-10,2.5,83000000000,0.26
12/8/2015 0:34,69.9,150.5,38,,,,,197000000000,0.55
11/13/2015 14:59,16,124.3,28,,,,,102000000000,0.31
11/2/2015 21:34,41.4,33,37,,,,,78000000000,0.24
10/31/2015 11:34,9,138,71,,,,,97000000000,0.29
10/30/2015 7:07,85,161.7,,,,,,180000000000,0.51
10/13/2015 12:23,8,52.5,38.9,12.9,-6.6,3.8,10.4,23000000000,0.082
10/11/2015 0:07,55.4,18.8,,,,,,30000000000,0.1
10/10/2015 9:57,51,21.1,51.8,11.8,-1.3,-5.1,10.6,36000000000,0.12
10/4/2015 21:02,22,171.6,36.1,,,,,44000000000,0.15
9/17/2015 21:03,43.1,94.9,,,,,,98000000000,0.3
9/14/2015 23:50,5.8,15.2,,,,,,70000000000,0.22
9/8/2015 13:46,6.3,29.9,44.4,16.1,-11.5,-11.3,-0.9,20000000000,0.073
9/7/2015 1:41,14.5,98.9,29.3,21,16.8,-12,-3.8,1800000000000,3.9
9/2/2015 20:10,39.1,40.2,39.8,24.1,10.3,-12.2,-18,37000000000,0.13
8/4/2015 10:24,9.6,125.9,,,,,,29000000000,0.1
7/19/2015 7:06,20.6,87.6,22,17.8,9.4,13,7.8,23000000000,0.082
7/12/2015 22:23,31,159.6,41,,,,,22000000000,0.079
7/4/2015 1:40,38.6,103.1,46.3,49,0.9,-40.4,-27.7,56000000000,0.18
6/14/2015 3:03,6.3,124.1,32.4,31.9,-4.7,-17.8,-26,71000000000,0.22
6/12/2015 17:03,1.3,32.1,43.5,,,,,176000000000,0.5
6/10/2015 17:43,11.5,161.9,61.1,,,,,384000000000,1
6/2/2015 8:44,6.4,142.7,,,,,,380000000000,0.99
5/20/2015 10:20,1,172.6,32.4,,,,,36000000000,0.12
5/18/2015 17:13,32.4,139.1,29,,,,,43000000000,0.14
5/10/2015 7:45,46.3,179.3,29.6,12.2,11.2,0.9,4.7,143000000000,0.42
5/7/2015 20:34,21.5,29.3,37,17.3,-16.2,-5.8,1.4,52000000000,0.17
4/30/2015 10:21,48.7,139.1,26.7,12.9,12.2,-4.2,0.9,105000000000,0.32
4/21/2015 1:42,37.7,39.6,37.4,21.3,-15.3,12.8,7.4,88000000000,0.27
4/10/2015 1:14,42.8,8.2,,,,,,65000000000,0.21
4/8/2015 4:06,25.5,51.5,36.3,19.2,8,-15.6,-7.9,173000000000,0.49
4/3/2015 1:39,8.4,157.9,,,,,,42000000000,0.14
3/30/2015 21:33,36.1,5.5,33.1,13.8,-13.7,-1.7,0.8,64000000000,0.2
3/18/2015 0:04,5.4,159.3,50,,,,,121000000000,0.36
3/11/2015 6:18,8,119.1,35.2,19.9,5.5,-10.5,-16,72000000000,0.23
3/8/2015 4:26,39.1,118.6,,,,,,20000000000,0.073
3/4/2015 4:30,15.9,88.1,39.8,18,7.8,-16,-2.5,55000000000,0.18
2/26/2015 22:06,68,149,33.7,21.1,5.6,-2.3,-20.2,188000000000,0.53
2/25/2015 10:53,12.4,122.4,42,,,,,58000000000,0.19
2/17/2015 13:19,8,11.2,39,28.8,-28.2,3.4,4.6,33000000000,0.11
1/9/2015 17:31,23.3,49.2,,,,,,22000000000,0.079
1/9/2015 10:41,2,28.8,36,17.5,-10.7,-7.6,11.6,139000000000,0.41
1/7/2015 1:05,45.7,26.9,45.5,35.7,-35.4,1.8,-4.4,136000000000,0.4
1/2/2015 13:39,31.1,140,38.1,18.1,4.5,-14.4,-10,20000000000,0.073
12/13/2014 2:53,86.7,162.1,30.7,21.7,15.3,-13.3,-7.8,44000000000,0.15
12/12/2014 6:48,33.5,144.9,26.3,12,11.5,-2.8,-2.2,33000000000,0.11
12/9/2014 21:19,76.6,96.3,26.3,,,,,78000000000,0.24
11/28/2014 11:47,45.8,172.7,26.1,13.4,0.4,-1.4,13.3,700000000000,1.7
11/27/2014 12:12,18.8,73.4,38,,,,,55000000000,0.18
11/26/2014 23:16,69.5,179.7,23.3,25.3,21.3,2.2,13.4,118000000000,0.35
11/26/2014 17:40,68.2,24,37,19.9,-7,16.1,9.4,105000000000,0.32
11/4/2014 20:13,43.1,115.8,22.2,16,-7.2,-12.1,-7.7,156000000000,0.45
10/21/2014 18:55,22.2,132.9,,,,,,34000000000,0.12
