,Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Sighting Year,Sighting Month
298,2015-03-11 06:18:00,8.0,119.1,35.2,19.9,5.5,-10.5,-16.0,72000000000,0.23,2015,March
300,2015-03-04 04:30:00,15.9,88.1,39.8,18.0,7.8,-16.0,-2.5,55000000000,0.18,2015,March
301,2015-02-26 22:06:00,68.0,149.0,33.7,21.1,5.6,-2.3,-20.2,188000000000,0.53,2015,February
303,2015-02-17 13:19:00,8.0,11.2,39.0,28.8,-28.2,3.4,4.6,33000000000,0.11,2015,February
305,2015-01-09 10:41:00,2.0,28.8,36.0,17.5,-10.7,-7.6,11.6,139000000000,0.41,2015,January
306,2015-01-07 01:05:00,45.7,26.9,45.5,35.7,-35.4,1.8,-4.4,136000000000,0.4,2015,January
307,2015-01-02 13:39:00,31.1,140.0,38.1,18.1,4.5,-14.4,-10.0,20000000000,0.07,2015,January
308,2014-12-13 02:53:00,86.7,162.1,30.7,21.7,15.3,-13.3,-7.8,44000000000,0.15,2014,December
309,2014-12-12 06:48:00,33.5,144.9,26.3,12.0,11.5,-2.8,-2.2,33000000000,0.11,2014,December
311,2014-11-28 11:47:00,45.8,172.7,26.1,13.4,0.4,-1.4,13.3,700000000000,1.7,2014,November
313,2014-11-26 23:16:00,69.5,179.7,23.3,25.3,21.3,2.2,13.4,118000000000,0.35,2014,November
314,2014-11-26 17:40:00,68.2,24.0,37.0,19.9,-7.0,16.1,9.4,105000000000,0.32,2014,November
315,2014-11-04 20:13:00,43.1,115.8,22.2,16.0,-7.2,-12.1,-7.7,156000000000,0.45,2014,November
318,2014-10-14 10:25:00,2.0,119.2,27.2,16.9,15.0,-6.9,-3.5,29000000000,0.1,2014,October
324,2014-08-23 06:29:00,61.7,132.6,22.2,16.2,-2.3,5.7,16.5,3820000000000,7.6,2014,August
327,2014-06-28 02:40:00,18.9,141.2,26.3,12.4,12.0,3.5,-10.5,245000000000,0.67,2014,June
328,2014-06-26 05:54:00,71.5,93.4,28.5,11.2,7.0,2.9,8.3,61000000000,0.2,2014,June
330,2014-05-16 20:06:00,39.4,95.9,30.8,18.0,2.9,13.4,-12.5,136000000000,0.4,2014,May
331,2014-05-16 12:42:00,44.2,176.2,44.0,16.5,14.4,4.6,6.5,309000000000,0.82,2014,May
332,2014-05-08 19:42:00,36.9,87.3,35.4,19.0,-2.0,-16.1,9.9,1050000000000,2.4,2014,May
333,2014-03-29 13:45:00,28.7,121.5,30.7,16.3,10.0,-12.7,2.2,39000000000,0.13,2014,March
339,2014-01-12 16:00:00,2.9,64.4,37.0,16.2,-5.2,-15.1,2.6,78000000000,0.24,2014,January
340,2014-01-08 17:05:00,1.3,147.6,18.7,44.8,-3.4,-43.5,-10.3,31000000000,0.11,2014,January
341,2013-12-23 08:30:00,39.5,2.0,34.3,15.1,-1.1,11.4,-9.9,147000000000,0.43,2013,December
342,2013-12-08 03:10:00,32.8,165.1,23.5,11.8,2.3,2.5,-11.3,64000000000,0.2,2013,December
343,2013-11-21 01:50:00,44.7,35.3,59.3,12.4,-5.0,-11.0,-2.7,75000000000,0.23,2013,November
344,2013-10-12 16:06:00,19.1,25.0,22.2,12.8,-8.0,8.4,-5.5,1610000000000,3.5,2013,October
349,2013-07-31 03:50:00,31.8,137.1,29.1,17.8,17.7,-2.3,-0.1,69000000000,0.22,2013,July
350,2013-07-30 02:36:00,50.2,90.2,25.6,18.8,15.9,-8.6,5.1,390000000000,1.0,2013,July
351,2013-07-27 08:30:00,0.3,156.2,26.5,22.1,16.0,14.9,-3.3,120000000000,0.36,2013,July
357,2013-04-30 08:40:00,35.5,30.7,21.2,12.1,1.0,9.0,-8.0,5110000000000,10.0,2013,April
358,2013-04-21 06:23:00,28.1,64.6,40.7,14.9,5.0,14.0,1.0,1070000000000,2.5,2013,April
361,2013-02-15 03:20:00,54.8,61.1,23.3,18.6,12.8,-13.3,-2.4,375000000000000,440.0,2013,February
367,2012-11-20 20:37:00,2.5,29.6,33.3,14.3,-12.2,-5.3,5.3,25000000000,0.09,2012,November
370,2012-10-19 16:26:00,75.4,49.6,29.3,13.2,-2.3,-3.9,12.4,23000000000,0.08,2012,October
371,2012-10-09 00:54:00,51.2,84.6,27.8,13.5,3.4,12.0,5.1,210000000000,0.58,2012,October
373,2012-10-02 16:38:00,8.1,111.9,35.0,15.4,1.4,15.3,1.0,470000000000,1.2,2012,October
375,2012-09-18 19:34:00,1.2,52.2,28.1,18.3,-1.9,14.1,-11.5,244000000000,0.67,2012,September
377,2012-09-10 01:03:00,69.8,111.7,23.8,16.9,-10.2,-5.2,12.4,23000000000,0.08,2012,September
378,2012-08-27 06:57:00,18.3,64.2,38.7,28.9,-8.0,-23.7,-14.5,68000000000,0.22,2012,August
379,2012-08-26 14:55:00,11.8,117.0,36.0,12.7,5.0,-11.6,-0.7,249000000000,0.68,2012,August
382,2012-07-25 07:48:00,36.4,41.5,26.8,18.5,0.8,2.0,-18.4,133000000000,0.39,2012,July
386,2012-05-15 11:04:00,61.8,135.5,33.3,17.1,-0.8,1.1,17.0,132000000000,0.39,2012,May
392,2012-03-12 06:40:00,2.5,139.8,25.0,11.8,0.1,-11.8,0.3,99000000000,0.3,2012,March
399,2012-02-04 14:42:00,32.4,0.1,34.2,12.2,-3.9,10.9,4.0,150000000000,0.43,2012,February
400,2012-01-15 12:26:00,64.1,109.9,26.3,12.3,-1.9,5.1,11.0,21000000000,0.08,2012,January
407,2011-09-13 23:36:00,19.9,13.8,21.3,16.7,-3.7,1.8,16.2,67000000000,0.21,2011,September
418,2011-05-25 05:40:00,4.1,14.0,59.0,11.6,-3.4,-10.8,2.4,2280000000000,4.8,2011,May
424,2011-04-06 08:30:00,71.1,43.5,22.2,12.7,3.3,11.8,-3.5,148000000000,0.43,2011,April
428,2011-03-01 10:37:00,53.5,103.9,30.6,11.9,-6.7,-1.1,-9.8,37000000000,0.13,2011,March
429,2011-02-21 05:07:00,26.3,43.7,44.4,18.0,10.3,-14.8,0.1,39000000000,0.13,2011,February
433,2010-12-25 23:24:00,38.0,158.0,26.0,18.1,18.0,-2.0,-4.0,20000000000000,33.0,2010,December
448,2010-09-03 12:04:00,61.0,146.7,33.3,12.3,9.8,-3.5,6.5,1750000000000,3.8,2010,September
453,2010-07-06 23:54:00,34.1,174.5,26.0,15.7,12.1,10.0,0.2,7560000000000,14.0,2010,July
