Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year
2017-05-24 07:03:00.000000,9.1,101.8,46.0,18.4,-6.5,-16.5,-5.0,90000000000,0.28,2017
2017-05-22 17:44:00.000000,49.6,157.6,33.0,,,,,35000000000,0.12,2017
2017-05-14 09:30:00.000000,26.0,32.4,33.0,,,,,35000000000,0.12,2017
2017-04-30 21:28:00.000000,25.7,56.2,32.4,21.5,-13.4,-14.2,8.9,150000000000,0.43,2017
2017-03-11 04:51:00.000000,28.3,60.2,28.0,,,,,1260000000000,2.9,2017
2017-03-09 04:16:00.000000,40.5,18.0,23.0,36.5,-15.3,25.8,-20.8,400000000000,1.0,2017
2017-03-08 22:21:00.000000,26.1,174.9,37.0,,,,,72000000000,0.23,2017
2017-02-25 01:22:00.000000,29.5,13.5,25.4,12.2,-7.6,-9.3,2.2,65000000000,0.21,2017
2017-02-22 18:47:00.000000,50.7,66.0,,,,,,38000000000,0.13,2017
2017-02-18 19:48:00.000000,6.2,60.4,38.0,24.2,-6.6,-22.7,-5.3,295000000000,0.79,2017
2017-02-07 17:37:00.000000,27.4,14.8,54.0,,,,,20000000000,0.07,2017
2017-02-06 06:09:00.000000,10.4,131.6,33.5,,,,,66000000000,0.21,2017
2016-12-23 03:29:00.000000,21.3,49.3,42.0,29.7,-22.4,16.4,-10.5,38000000000,0.13,2016
2016-12-07 04:51:00.000000,34.5,126.6,,,,,,117000000000,0.35,2016
2016-11-29 08:05:00.000000,30.6,93.1,,,,,,31000000000,0.11,2016
2016-11-24 14:10:00.000000,15.2,80.3,30.6,17.4,9.1,-11.2,9.7,138000000000,0.4,2016
2016-11-03 17:14:00.000000,39.6,16.3,37.0,,,,,76000000000,0.24,2016
2016-10-01 20:23:00.000000,36.2,6.7,27.8,14.2,-10.0,3.9,-9.3,31000000000,0.11,2016
2016-09-22 04:57:00.000000,51.8,178.5,40.0,17.5,-2.5,-3.3,17.0,71000000000,0.22,2016
2016-09-14 15:01:00.000000,3.5,44.6,54.0,18.3,3.5,-16.2,7.7,76000000000,0.24,2016
2016-08-27 21:45:00.000000,56.9,162.2,42.0,,,,,142000000000,0.41,2016
2016-08-11 05:59:00.000000,43.7,53.8,34.3,14.9,-0.7,-11.4,9.6,184000000000,0.52,2016
2016-08-05 18:02:00.000000,46.4,171.6,32.4,,,,,121000000000,0.36,2016
2016-07-21 00:48:00.000000,7.8,1.6,37.0,,,,,45000000000,0.15,2016
2016-07-05 01:24:00.000000,1.0,48.6,38.2,25.1,-10.3,-2.0,-22.8,153000000000,0.44,2016
2016-06-27 10:02:00.000000,15.8,11.9,33.3,29.1,-29.1,1.5,0.7,458000000000,1.2,2016
2016-06-05 06:12:00.000000,17.4,138.3,28.7,14.5,6.0,-11.9,5.7,331000000000,0.87,2016
2016-06-02 10:56:00.000000,33.8,110.9,,,,,,172000000000,0.49,2016
2016-05-29 12:14:00.000000,10.2,48.8,32.0,,,,,69000000000,0.22,2016
2016-05-20 11:59:00.000000,32.8,15.1,30.6,20.8,5.4,-9.9,17.5,20000000000,0.07,2016
2016-05-16 10:09:00.000000,3.2,6.6,41.7,12.2,-6.7,-3.3,-9.6,519000000000,1.3,2016
2016-05-13 00:34:00.000000,26.2,122.3,33.0,,,,,101000000000,0.31,2016
2016-04-24 05:39:00.000000,9.8,42.8,50.0,,,,,146000000000,0.42,2016
2016-04-18 11:59:00.000000,20.7,14.5,31.5,17.1,-3.5,2.2,-16.6,224000000000,0.62,2016
2016-04-12 09:51:00.000000,38.3,162.2,,,,,,20000000000,0.07,2016
2016-04-10 14:57:00.000000,22.0,149.0,35.2,15.1,4.7,-12.9,-6.4,655000000000,1.6,2016
